Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R15,402,53.3mm,27.7mm,53.3mm,27.7mm,53.3mm,27.7mm,T,90,10k
R16,402,51.1mm,27.7mm,51.1mm,27.7mm,51.1mm,27.7mm,T,90,10k
R17,402,48.1mm,23.9mm,48.1mm,23.9mm,48.1mm,23.9mm,T,0,22
R18,402,48.1mm,22.0mm,48.1mm,22.0mm,48.1mm,22.0mm,T,0,22
R19,402,48.1mm,20.5mm,48.1mm,20.5mm,48.1mm,20.5mm,T,0,22
R20,402,48.1mm,17.9mm,48.1mm,17.9mm,48.1mm,17.9mm,T,0,22
R21,603,71.0mm,40.5mm,71.0mm,40.5mm,71.0mm,40.5mm,T,0,2.2k
U1,SOT95P280X145-5N,50.4mm,12.4mm,50.4mm,12.4mm,50.4mm,12.4mm,T,180,LP2985-33DBVT
U3,SOT95P280X145-5N,54.5mm,36.2mm,54.5mm,36.2mm,54.5mm,36.2mm,T,180,TPS60403DBVT
U4,SOT95P280X145-5N,22.1mm,38.5mm,22.1mm,38.5mm,22.1mm,38.5mm,T,180,TPS73225DBVR
U5,SOT95P280X145-5N,39.5mm,5.9mm,39.5mm,5.9mm,39.5mm,5.9mm,T,180,TPS73225DBVR
U6,SC70-6,10.7mm,29.8mm,10.7mm,29.8mm,10.7mm,29.8mm,T,270,TPD4E1B06DCKR
U7,SC70-6,10.7mm,17.6mm,10.7mm,17.6mm,10.7mm,17.6mm,T,270,TPD4E1B06DCKR
U8,SC70-6,10.7mm,7.1mm,10.7mm,7.1mm,10.7mm,7.1mm,T,270,TPD4E1B06DCKR
U9,SOT-89,68.1mm,11.4mm,68.1mm,11.4mm,68.1mm,11.4mm,T,0,HT7333
U10,SOIC127P600X175-8N,68.9mm,29.0mm,68.9mm,29.0mm,68.9mm,29.0mm,T,0,ISO721D
